SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLT,AOD,STT_hour,STT_min,pas,num,route,DLY,DLY_RATE
2019,9,16,월,1,3,L1702,A,9,5,20324878.5,120780.0,L13,N,0.040953526087382806
2019,9,16,월,3,1,L1702,D,7,55,27460764.0,153832.5,L13,N,0.11168691728784648
2019,9,16,월,1,3,L1720,A,14,40,20324878.5,120780.0,L13,N,0.20401017388971804
2019,9,16,월,3,1,L1720,D,13,30,27460764.0,153832.5,L13,Y,0.727353826579058
2019,9,16,월,4,3,L1808,A,20,10,1993016.5,12843.5,L34,N,0.1732647452593004
2019,9,16,월,3,4,L1808,D,19,10,27460764.0,153832.5,L34,N,0.19080740046241884
2019,9,16,월,3,9,J1934,A,16,0,27460764.0,153832.5,J39,N,0.043876002152647316
2019,9,16,월,9,3,J1934,D,15,0,590219.5,5008.0,J39,N,0.08605730430411071
2019,9,16,월,3,1,L1703,A,8,10,27460764.0,153832.5,L13,N,0.052137457851654044
2019,9,16,월,1,3,L1703,D,7,0,20324878.5,120780.0,L13,N,0.05320302101638357
2019,9,16,월,3,4,L1809,A,20,35,27460764.0,153832.5,L34,N,0.23773974249240828
2019,9,16,월,4,3,L1809,D,19,35,1993016.5,12843.5,L34,N,0.35344324044533537
2019,9,16,월,3,1,L1731,A,19,20,27460764.0,153832.5,L13,N,0.0780925858061565
2019,9,16,월,1,3,L1731,D,18,10,20324878.5,120780.0,L13,N,0.18205794007182016
2019,9,16,월,9,3,J1935,A,14,25,590219.5,5008.0,J39,N,0.040361817862621774
2019,9,16,월,3,1,L1705,A,9,25,27460764.0,153832.5,L13,N,0.07401611639872327
2019,9,16,월,1,3,L1705,D,8,15,20324878.5,120780.0,L13,N,0.08420437165767572
2019,9,16,월,1,3,L1732,A,21,5,20324878.5,120780.0,L13,N,0.1000780658216283
2019,9,16,월,3,1,L1732,D,19,55,27460764.0,153832.5,L13,N,0.24918819741750156
2019,9,16,월,4,3,L1810,A,22,10,1993016.5,12843.5,L34,N,0.29343882024473317
2019,9,16,월,3,4,L1810,D,21,10,27460764.0,153832.5,L34,Y,0.7360657931760815
2019,9,16,월,3,9,J1935,D,13,25,27460764.0,153832.5,J39,N,0.1812014589758275
2019,9,16,월,3,6,J1954,A,9,25,27460764.0,153832.5,J36,N,0.07649684600247314
2019,9,16,월,6,3,J1954,D,8,20,2215820.0,13247.5,J36,N,0.08653373524278053
2019,9,16,월,1,3,L1706,A,9,55,20324878.5,120780.0,L13,N,0.037068128838543477
2019,9,16,월,3,1,L1706,D,8,45,27460764.0,153832.5,L13,N,0.21512401005612966
2019,9,16,월,3,1,L1733,A,19,35,27460764.0,153832.5,L13,N,0.09561809362995337
2019,9,16,월,1,3,L1733,D,18,25,20324878.5,120780.0,L13,N,0.24583369326697233
2019,9,16,월,3,8,L1901,A,10,25,27460764.0,153832.5,L38,N,0.07188005103281833
2019,9,16,월,8,3,L1901,D,9,30,1962567.0,13083.0,L38,N,0.21165500518219973
2019,9,16,월,6,3,J1955,A,11,10,2215820.0,13247.5,J36,N,0.0497876274377389
2019,9,16,월,3,1,L1707,A,10,55,27460764.0,153832.5,L13,N,0.06261471708174292
2019,9,16,월,1,3,L1707,D,9,45,20324878.5,120780.0,L13,N,0.10281471869203261
2019,9,16,월,1,3,L1734,A,21,40,20324878.5,120780.0,L13,N,0.18337266759870524
2019,9,16,월,3,1,L1734,D,20,30,27460764.0,153832.5,L13,N,0.49921993906645445
